iter	Logloss
0	0.6899710743
1	0.6865776765
2	0.683498015
3	0.6801815319
4	0.6770752084
5	0.6739835229
6	0.6710688654
7	0.6680191988
8	0.6650586016
9	0.6621223139
10	0.6593735101
11	0.6566895315
12	0.6539275274
13	0.6511938843
14	0.6485307518
15	0.6460351719
16	0.6436081423
17	0.6410280673
18	0.6386891269
19	0.6362737292
20	0.6339836039
21	0.6315711469
22	0.6294723609
23	0.6272889491
24	0.6249566742
25	0.6227128153
26	0.6206829716
27	0.6185511848
28	0.6163334652
29	0.6143181942
30	0.61229201
31	0.610412467
32	0.6083641297
33	0.6064072145
34	0.6044482736
35	0.6026217279
36	0.6007124515
37	0.5988584596
38	0.5972789299
39	0.5955209344
40	0.5937237301
41	0.5919734457
42	0.5902462945
43	0.5884892139
44	0.5867576191
45	0.5851876302
46	0.5835741848
47	0.5818525229
48	0.5804395002
49	0.5788031829
50	0.5773684647
51	0.5758650655
52	0.5745181751
53	0.5731160656
54	0.5716867712
55	0.5700494738
56	0.5685424151
57	0.5670377744
58	0.5657447962
59	0.5645655238
60	0.5632396102
61	0.5619917876
62	0.5607031877
63	0.5593839396
64	0.5581480104
65	0.5568720227
66	0.5556482483
67	0.5543088076
68	0.5530068767
69	0.551940918
70	0.5507999396
71	0.5498091965
72	0.5488204139
73	0.5476599618
74	0.5464310901
75	0.5454195991
76	0.5442795355
77	0.5431874702
78	0.5421161856
79	0.5411020806
80	0.5401260735
81	0.5390214614
82	0.5380653528
83	0.5372574865
84	0.5361626766
85	0.5352568861
86	0.5342408534
87	0.5332579521
88	0.5322976286
89	0.5314210814
90	0.5305278705
91	0.5297075227
92	0.5289226262
93	0.5282479394
94	0.5274874179
95	0.5266988946
96	0.525884951
97	0.5250826392
98	0.5243018598
99	0.5234796169
