iter	Passed	Remaining
0	3	313
1	5	261
2	7	244
3	9	232
4	11	223
5	13	218
6	15	211
7	17	206
8	20	203
9	22	200
10	24	197
11	26	194
12	28	192
13	30	190
14	33	187
15	34	183
16	37	181
17	39	178
18	41	176
19	43	173
20	45	171
21	47	169
22	49	166
23	51	163
24	53	161
25	55	158
26	57	156
27	60	154
28	62	152
29	64	150
30	66	147
31	68	145
32	70	143
33	72	141
34	74	138
35	76	136
36	78	134
37	81	132
38	83	130
39	85	127
40	87	125
41	89	123
42	91	121
43	93	118
44	95	116
45	97	114
46	99	112
47	101	110
48	103	107
49	105	105
50	107	103
51	109	101
52	111	99
53	113	96
54	116	94
55	118	92
56	120	90
57	122	88
58	124	86
59	126	84
60	128	82
61	130	80
62	132	77
63	134	75
64	136	73
65	139	71
66	140	69
67	143	67
68	145	65
69	147	63
70	149	60
71	151	58
72	153	56
73	155	54
74	157	52
75	159	50
76	161	48
77	164	46
78	166	44
79	168	42
80	170	40
81	172	37
82	174	35
83	176	33
84	178	31
85	180	29
86	182	27
87	185	25
88	187	23
89	189	21
90	191	18
91	193	16
92	196	14
93	198	12
94	200	10
95	202	8
96	204	6
97	206	4
98	208	2
99	210	0
